Agent,Role,Tier,Score,Trend,Win %,Pick %,Dmg/Round,KDA,Map,Rank
omenOmen,Controller,Strong / S,66.23,-2.48,49.35%,6.90%,153.55,1.35,all_maps_ranks,combined
phoenixPhoenix,Duelist,Good / A,48.09,0.18,49.99%,2.60%,155.74,1.4,all_maps_ranks,combined
razeRaze,Duelist,Fair / B,47.78,-1.14,49.58%,3.53%,151.49,1.31,all_maps_ranks,combined
reynaReyna,Duelist,God / S+,98.89,0.59,50.63%,10.85%,162.26,1.47,all_maps_ranks,combined
sageSage,Sentinel,Strong / S,60.3,0.31,50.13%,6.68%,123.94,1.29,all_maps_ranks,combined
skyeSkye,Initiator,Weak / C,34.11,-0.91,49.39%,2.07%,128.27,1.33,all_maps_ranks,combined
sovaSova,Initiator,Good / A,50.85,0.79,50.06%,4.09%,138.64,1.34,all_maps_ranks,combined
viperViper,Controller,Bad / D,25.93,-0.21,49.07%,0.59%,136.36,1.31,all_maps_ranks,combined
vyseVyse,Sentinel,Fair / B,46.14,-11.25,50.08%,3.23%,136.65,1.35,all_maps_ranks,combined
yoruYoru,Duelist,Weak / C,32.8,1.37,48.65%,2.29%,139.6,1.28,all_maps_ranks,combined
astraAstra,Controller,Bad / D,29.43,-3.61,49.30%,0.86%,137.64,1.46,all_maps_ranks,combined
breachBreach,Initiator,Weak / C,33.77,0.12,49.63%,1.78%,131.02,1.39,all_maps_ranks,combined
brimstoneBrimstone,Controller,Fair / B,37.49,-1.09,49.71%,1.87%,134.8,1.51,all_maps_ranks,combined
chamberChamber,Sentinel,Good / A,54.79,-3.13,49.95%,4.60%,147.16,1.34,all_maps_ranks,combined
cloveClove,Controller,Strong / S,90.35,3.18,51.10%,8.95%,152.69,1.53,all_maps_ranks,combined
cypherCypher,Sentinel,Strong / S,62.54,2.93,50.23%,6.14%,132.05,1.33,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Fair / B,34.83,2.62,50.56%,1.63%,133.96,1.31,all_maps_ranks,combined
fadeFade,Initiator,Weak / C,33.95,-0.18,49.95%,1.78%,128.88,1.36,all_maps_ranks,combined
gekkoGekko,Initiator,Good / A,50.07,0.09,50.16%,4.59%,126.21,1.25,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,21.27,0.38,48.34%,0.56%,131.45,1.34,all_maps_ranks,combined
isoIso,Duelist,Good / A,55.99,1.55,50.43%,4.06%,161.09,1.39,all_maps_ranks,combined
jettJett,Duelist,God / S+,97.38,0.2,50.25%,10.98%,153.87,1.33,all_maps_ranks,combined
kayoKAY/O,Initiator,Bad / D,31.53,-0.49,48.76%,1.71%,130.11,1.44,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Fair / B,45.94,0.92,50.15%,3.67%,137.29,1.24,all_maps_ranks,combined
neonNeon,Duelist,Good / A,53.9,0.62,50.36%,4.46%,145.18,1.3,all_maps_ranks,combined
omenOmen,Controller,Good / A,56.43,2.13,49.10%,5.41%,136.03,1.4,all_maps_ranks,combined
phoenixPhoenix,Duelist,Fair / B,47.76,0.52,50.45%,2.93%,153.71,1.4,all_maps_ranks,combined
razeRaze,Duelist,Strong / S,56.92,-0.37,50.02%,4.76%,154.12,1.33,all_maps_ranks,combined
reynaReyna,Duelist,God / S+,93.75,2.05,50.42%,9.95%,157.7,1.43,all_maps_ranks,combined
sageSage,Sentinel,Good / A,51.96,-1.35,50.47%,4.51%,127.09,1.32,all_maps_ranks,combined
skyeSkye,Initiator,Weak / C,33.62,0.43,49.61%,2.00%,126.96,1.34,all_maps_ranks,combined
sovaSova,Initiator,Strong / S,68.74,2.34,50.10%,7.00%,136.65,1.34,all_maps_ranks,combined
viperViper,Controller,Weak / C,34.04,-0.17,49.91%,1.61%,138.13,1.35,all_maps_ranks,combined
vyseVyse,Sentinel,Fair / B,36.37,-11.12,49.83%,1.95%,138.0,1.37,all_maps_ranks,combined
yoruYoru,Duelist,Fair / B,37.19,1.45,49.57%,2.24%,142.12,1.32,all_maps_ranks,combined
astraAstra,Controller,Bad / D,36.29,-4.68,49.19%,1.08%,141.07,1.52,all_maps_ranks,combined
breachBreach,Initiator,Fair / B,38.48,0.3,49.56%,1.89%,131.35,1.43,all_maps_ranks,combined
brimstoneBrimstone,Controller,Weak / C,37.98,-0.21,49.66%,1.17%,138.56,1.59,all_maps_ranks,combined
chamberChamber,Sentinel,Strong / S,55.87,-3.82,49.91%,5.30%,149.68,1.34,all_maps_ranks,combined
cloveClove,Controller,God / S+,85.52,4.8,51.15%,10.53%,155.12,1.57,all_maps_ranks,combined
cypherCypher,Sentinel,Strong / S,63.61,3.32,50.20%,7.23%,134.11,1.33,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Weak / C,37.48,-0.18,50.79%,1.28%,138.1,1.35,all_maps_ranks,combined
fadeFade,Initiator,Weak / C,36.56,-0.11,49.82%,1.40%,132.5,1.41,all_maps_ranks,combined
gekkoGekko,Initiator,Good / A,48.38,-0.64,50.09%,4.30%,127.68,1.27,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,30.69,-2.67,48.93%,0.37%,136.79,1.4,all_maps_ranks,combined
isoIso,Duelist,Good / A,53.14,2.0,50.75%,3.75%,168.55,1.43,all_maps_ranks,combined
jettJett,Duelist,God / S+,96.79,0.06,50.12%,13.85%,157.66,1.33,all_maps_ranks,combined
kayoKAY/O,Initiator,Bad / D,35.29,1.02,48.68%,1.21%,135.42,1.51,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Good / A,48.0,1.13,50.13%,3.93%,140.91,1.26,all_maps_ranks,combined
neonNeon,Duelist,Good / A,48.58,1.97,50.56%,3.55%,150.06,1.31,all_maps_ranks,combined
omenOmen,Controller,Good / A,52.05,-0.11,48.81%,4.85%,137.15,1.46,all_maps_ranks,combined
phoenixPhoenix,Duelist,Fair / B,43.63,0.46,50.64%,1.91%,160.45,1.43,all_maps_ranks,combined
razeRaze,Duelist,Good / A,55.77,-0.3,49.90%,5.12%,157.83,1.32,all_maps_ranks,combined
reynaReyna,Duelist,Strong / S,80.6,1.29,50.35%,10.03%,159.46,1.42,all_maps_ranks,combined
sageSage,Sentinel,Fair / B,38.52,0.26,50.44%,1.78%,130.33,1.36,all_maps_ranks,combined
skyeSkye,Initiator,Fair / B,38.33,0.96,49.74%,1.90%,131.1,1.38,all_maps_ranks,combined
sovaSova,Initiator,Strong / S,72.54,2.21,50.13%,8.91%,140.45,1.38,all_maps_ranks,combined
viperViper,Controller,Fair / B,39.07,0.13,49.96%,1.67%,143.16,1.39,all_maps_ranks,combined
vyseVyse,Sentinel,Fair / B,39.03,-7.72,50.20%,1.50%,143.44,1.43,all_maps_ranks,combined
yoruYoru,Duelist,Weak / C,37.8,0.55,49.70%,1.49%,148.34,1.35,all_maps_ranks,combined
astraAstra,Controller,Bad / D,26.34,-1.18,48.90%,0.64%,130.02,1.34,all_maps_ranks,combined
breachBreach,Initiator,Weak / C,36.61,2.48,49.76%,1.81%,128.69,1.3,all_maps_ranks,combined
brimstoneBrimstone,Controller,Fair / B,45.94,2.05,49.79%,2.57%,132.26,1.4,all_maps_ranks,combined
chamberChamber,Sentinel,Good / A,54.63,-2.0,49.76%,4.30%,140.7,1.32,all_maps_ranks,combined
cloveClove,Controller,God / S+,87.67,-1.45,51.13%,7.38%,147.1,1.44,all_maps_ranks,combined
cypherCypher,Sentinel,Strong / S,60.98,-0.23,50.30%,5.59%,128.01,1.32,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Fair / B,37.95,1.67,50.14%,2.01%,126.91,1.25,all_maps_ranks,combined
fadeFade,Initiator,Weak / C,37.32,2.55,49.86%,2.27%,122.98,1.29,all_maps_ranks,combined
gekkoGekko,Initiator,Good / A,54.31,-0.62,50.12%,5.72%,123.19,1.21,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,17.6,0.44,48.38%,1.00%,122.41,1.23,all_maps_ranks,combined
isoIso,Duelist,Good / A,55.97,1.64,49.92%,3.75%,149.58,1.32,all_maps_ranks,combined
jettJett,Duelist,Strong / S,66.2,0.19,49.92%,5.88%,147.46,1.32,all_maps_ranks,combined
kayoKAY/O,Initiator,Bad / D,32.84,2.1,48.86%,2.34%,123.75,1.35,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Fair / B,48.65,1.51,50.43%,3.25%,132.95,1.25,all_maps_ranks,combined
neonNeon,Duelist,Good / A,57.02,-0.35,49.98%,5.08%,137.48,1.26,all_maps_ranks,combined
omenOmen,Controller,Strong / S,59.61,0.06,49.25%,6.54%,133.87,1.31,all_maps_ranks,combined
phoenixPhoenix,Duelist,Good / A,52.14,2.41,49.85%,3.14%,146.12,1.35,all_maps_ranks,combined
razeRaze,Duelist,Good / A,57.69,-0.63,49.81%,4.62%,145.43,1.3,all_maps_ranks,combined
reynaReyna,Duelist,God / S+,98.78,0.22,50.37%,10.42%,152.54,1.42,all_maps_ranks,combined
sageSage,Sentinel,Strong / S,67.14,-0.74,50.26%,7.91%,118.91,1.26,all_maps_ranks,combined
skyeSkye,Initiator,Weak / C,35.86,2.06,49.51%,2.52%,121.31,1.3,all_maps_ranks,combined
sovaSova,Initiator,Fair / B,48.77,1.36,49.88%,3.97%,131.07,1.28,all_maps_ranks,combined
viperViper,Controller,Weak / C,33.18,-0.13,49.44%,1.48%,131.57,1.29,all_maps_ranks,combined
vyseVyse,Sentinel,Fair / B,39.24,-13.16,49.56%,2.66%,128.63,1.29,all_maps_ranks,combined
yoruYoru,Duelist,Fair / B,37.57,-0.23,48.99%,3.17%,132.47,1.25,all_maps_ranks,combined
astraAstra,Controller,Bad / D,33.94,-4.85,49.25%,1.09%,140.25,1.5,all_maps_ranks,combined
breachBreach,Initiator,Fair / B,37.9,0.58,49.73%,2.12%,131.51,1.39,all_maps_ranks,combined
brimstoneBrimstone,Controller,Fair / B,38.0,0.43,49.96%,1.44%,137.97,1.57,all_maps_ranks,combined
chamberChamber,Sentinel,Strong / S,60.53,-3.8,49.99%,5.84%,150.1,1.35,all_maps_ranks,combined
cloveClove,Controller,Strong / S,87.46,3.99,51.07%,9.76%,154.06,1.55,all_maps_ranks,combined
cypherCypher,Sentinel,Strong / S,62.54,3.04,50.18%,6.59%,133.69,1.33,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Weak / C,35.45,1.08,50.52%,1.39%,136.59,1.33,all_maps_ranks,combined
fadeFade,Initiator,Weak / C,35.78,0.22,50.12%,1.55%,132.24,1.4,all_maps_ranks,combined
gekkoGekko,Initiator,Good / A,50.95,-0.3,50.08%,4.82%,127.6,1.27,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,26.4,-0.28,48.41%,0.47%,135.75,1.38,all_maps_ranks,combined
isoIso,Duelist,Good / A,52.21,2.38,50.63%,3.43%,167.3,1.43,all_maps_ranks,combined
jettJett,Duelist,God / S+,97.13,-0.05,50.15%,12.35%,158.06,1.34,all_maps_ranks,combined
kayoKAY/O,Initiator,Bad / D,33.91,-0.04,48.50%,1.63%,133.87,1.47,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Good / A,45.95,1.16,50.19%,3.63%,138.8,1.25,all_maps_ranks,combined
neonNeon,Duelist,Good / A,47.81,1.43,50.42%,3.49%,148.27,1.31,all_maps_ranks,combined
omenOmen,Controller,Good / A,56.66,1.92,49.04%,5.55%,139.66,1.44,all_maps_ranks,combined
phoenixPhoenix,Duelist,Fair / B,44.54,0.54,50.52%,2.27%,158.85,1.43,all_maps_ranks,combined
razeRaze,Duelist,Good / A,57.37,-0.29,50.04%,5.10%,157.51,1.34,all_maps_ranks,combined
reynaReyna,Duelist,God / S+,87.54,0.9,50.36%,10.21%,160.18,1.43,all_maps_ranks,combined
sageSage,Sentinel,Fair / B,42.23,0.67,50.31%,2.95%,127.16,1.33,all_maps_ranks,combined
skyeSkye,Initiator,Fair / B,36.95,0.68,49.72%,2.02%,130.95,1.38,all_maps_ranks,combined
sovaSova,Initiator,Strong / S,67.75,1.94,50.21%,7.26%,140.26,1.38,all_maps_ranks,combined
viperViper,Controller,Weak / C,36.74,-0.26,50.01%,1.51%,142.84,1.4,all_maps_ranks,combined
vyseVyse,Sentinel,Fair / B,38.71,-10.78,49.98%,1.91%,141.12,1.41,all_maps_ranks,combined
yoruYoru,Duelist,Weak / C,35.57,-0.31,49.31%,1.59%,147.46,1.35,all_maps_ranks,combined
astraAstra,Controller,Bad / D,30.42,-1.98,49.31%,0.88%,138.84,1.46,all_maps_ranks,combined
breachBreach,Initiator,Fair / B,37.03,1.61,49.85%,2.18%,133.45,1.36,all_maps_ranks,combined
brimstoneBrimstone,Controller,Fair / B,40.08,0.37,49.84%,2.06%,137.2,1.5,all_maps_ranks,combined
chamberChamber,Sentinel,Strong / S,61.09,-3.39,50.05%,5.50%,150.39,1.38,all_maps_ranks,combined
cloveClove,Controller,God / S+,88.86,0.72,51.26%,8.78%,154.37,1.53,all_maps_ranks,combined
cypherCypher,Sentinel,Strong / S,60.41,1.86,50.21%,5.97%,133.2,1.35,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Weak / C,34.57,1.6,50.35%,1.59%,134.45,1.31,all_maps_ranks,combined
fadeFade,Initiator,Weak / C,34.08,0.16,49.98%,1.73%,129.98,1.35,all_maps_ranks,combined
gekkoGekko,Initiator,Good / A,53.0,0.45,50.28%,5.15%,127.85,1.26,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,22.4,2.27,48.68%,0.66%,130.73,1.32,all_maps_ranks,combined
isoIso,Duelist,Good / A,54.17,1.51,50.39%,3.56%,163.54,1.41,all_maps_ranks,combined
jettJett,Duelist,Strong / S,85.45,-0.41,50.24%,9.25%,158.83,1.37,all_maps_ranks,combined
kayoKAY/O,Initiator,Bad / D,33.45,0.97,48.75%,2.09%,131.6,1.43,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Fair / B,44.96,1.92,50.34%,3.40%,137.98,1.26,all_maps_ranks,combined
neonNeon,Duelist,Good / A,51.49,1.1,50.26%,4.11%,146.61,1.31,all_maps_ranks,combined
omenOmen,Controller,Strong / S,60.59,0.42,49.20%,6.26%,139.55,1.39,all_maps_ranks,combined
phoenixPhoenix,Duelist,Fair / B,48.46,0.74,50.32%,2.74%,158.34,1.43,all_maps_ranks,combined
razeRaze,Duelist,Good / A,57.93,-1.09,49.96%,4.92%,156.23,1.35,all_maps_ranks,combined
reynaReyna,Duelist,God / S+,98.65,-0.1,50.53%,10.87%,161.87,1.47,all_maps_ranks,combined
sageSage,Sentinel,Good / A,54.73,0.63,50.26%,5.38%,124.61,1.31,all_maps_ranks,combined
skyeSkye,Initiator,Fair / B,34.79,1.71,49.55%,2.19%,128.51,1.35,all_maps_ranks,combined
sovaSova,Initiator,Good / A,56.47,1.07,50.16%,5.05%,139.79,1.36,all_maps_ranks,combined
viperViper,Controller,Weak / C,33.6,0.46,49.89%,1.28%,139.92,1.38,all_maps_ranks,combined
vyseVyse,Sentinel,Fair / B,38.72,-13.35,49.69%,2.39%,137.8,1.37,all_maps_ranks,combined
yoruYoru,Duelist,Weak / C,34.61,0.75,49.16%,2.00%,143.14,1.33,all_maps_ranks,combined
astraAstra,Controller,Weak / C,37.36,-3.15,49.14%,1.03%,143.15,1.55,all_maps_ranks,combined
breachBreach,Initiator,Fair / B,38.65,0.2,50.06%,1.45%,131.87,1.48,all_maps_ranks,combined
brimstoneBrimstone,Controller,Weak / C,38.36,-0.26,49.89%,0.90%,139.24,1.62,all_maps_ranks,combined
chamberChamber,Sentinel,Good / A,49.32,-4.96,50.04%,3.94%,149.71,1.33,all_maps_ranks,combined
cloveClove,Controller,God / S+,86.95,4.55,50.99%,11.71%,156.07,1.59,all_maps_ranks,combined
cypherCypher,Sentinel,Strong / S,63.54,3.12,50.36%,7.61%,134.26,1.33,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Fair / B,39.6,2.33,51.00%,1.38%,140.47,1.38,all_maps_ranks,combined
fadeFade,Initiator,Fair / B,38.62,0.36,50.40%,1.34%,133.61,1.45,all_maps_ranks,combined
gekkoGekko,Initiator,Good / A,44.92,-1.31,50.10%,3.53%,128.22,1.29,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,30.89,1.8,48.36%,0.23%,139.69,1.41,all_maps_ranks,combined
isoIso,Duelist,Strong / S,57.26,3.07,51.08%,4.65%,170.24,1.44,all_maps_ranks,combined
jettJett,Duelist,God / S+,96.72,-0.04,50.30%,14.96%,157.57,1.32,all_maps_ranks,combined
kayoKAY/O,Initiator,Bad / D,36.4,0.08,49.31%,0.88%,136.78,1.55,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Good / A,50.52,0.34,50.03%,4.72%,140.63,1.24,all_maps_ranks,combined
neonNeon,Duelist,Good / A,51.47,1.98,50.86%,4.15%,150.99,1.32,all_maps_ranks,combined
omenOmen,Controller,Good / A,47.58,-0.72,48.59%,4.03%,136.67,1.47,all_maps_ranks,combined
phoenixPhoenix,Duelist,Fair / B,42.18,0.15,50.61%,1.45%,161.47,1.44,all_maps_ranks,combined
razeRaze,Duelist,Good / A,53.55,-1.0,49.90%,4.79%,159.22,1.32,all_maps_ranks,combined
reynaReyna,Duelist,Strong / S,76.62,0.86,50.58%,9.77%,159.58,1.41,all_maps_ranks,combined
sageSage,Sentinel,Bad / D,36.34,-0.91,50.25%,0.98%,135.21,1.39,all_maps_ranks,combined
skyeSkye,Initiator,Weak / C,38.61,0.27,50.09%,1.75%,129.49,1.38,all_maps_ranks,combined
sovaSova,Initiator,Strong / S,75.3,0.69,50.13%,10.20%,140.5,1.38,all_maps_ranks,combined
viperViper,Controller,Fair / B,40.42,-1.0,49.86%,1.95%,142.36,1.38,all_maps_ranks,combined
vyseVyse,Sentinel,Weak / C,38.41,-7.86,50.18%,1.05%,146.43,1.45,all_maps_ranks,combined
yoruYoru,Duelist,Fair / B,40.42,1.41,50.50%,1.55%,149.74,1.37,all_maps_ranks,combined
astraAstra,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
breachBreach,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
brimstoneBrimstone,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
chamberChamber,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
cloveClove,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
cypherCypher,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
fadeFade,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
gekkoGekko,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
harborHarbor,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
isoIso,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
jettJett,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
kayoKAY/O,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
neonNeon,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
omenOmen,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
phoenixPhoenix,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
razeRaze,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
reynaReyna,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
sageSage,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
skyeSkye,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
sovaSova,Initiator,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
viperViper,Controller,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
vyseVyse,Sentinel,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
yoruYoru,Duelist,Not Placed,0.0,NEW,0.00%,0.00%,0.0,0.0,all_maps_ranks,combined
astraAstra,Controller,Bad / D,26.03,-0.02,48.90%,0.36%,124.99,1.3,all_maps_ranks,combined
breachBreach,Initiator,Weak / C,30.64,1.52,49.60%,0.96%,120.56,1.25,all_maps_ranks,combined
brimstoneBrimstone,Controller,Fair / B,47.81,-0.25,49.64%,3.63%,112.02,1.29,all_maps_ranks,combined
chamberChamber,Sentinel,Good / A,50.63,-0.87,49.77%,3.14%,134.03,1.29,all_maps_ranks,combined
cloveClove,Controller,Strong / S,67.62,-0.31,50.76%,4.61%,137.26,1.37,all_maps_ranks,combined
cypherCypher,Sentinel,Fair / B,46.9,-1.0,49.81%,3.25%,119.55,1.25,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Weak / C,31.13,1.48,49.79%,1.37%,117.03,1.16,all_maps_ranks,combined
fadeFade,Initiator,Fair / B,33.28,0.48,49.34%,2.22%,110.27,1.16,all_maps_ranks,combined
gekkoGekko,Initiator,Good / A,52.09,-0.77,49.74%,4.96%,110.91,1.1,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,18.4,1.5,48.39%,0.71%,111.73,1.12,all_maps_ranks,combined
isoIso,Duelist,Good / A,52.02,-0.55,49.63%,3.67%,134.35,1.22,all_maps_ranks,combined
jettJett,Duelist,God / S+,94.71,-0.97,50.25%,9.66%,129.98,1.24,all_maps_ranks,combined
kayoKAY/O,Initiator,Weak / C,31.89,1.42,48.65%,2.06%,112.59,1.24,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Fair / B,37.52,1.33,50.17%,1.96%,121.51,1.15,all_maps_ranks,combined
neonNeon,Duelist,Good / A,59.95,1.4,49.71%,5.38%,124.07,1.17,all_maps_ranks,combined
omenOmen,Controller,Good / A,51.99,0.13,48.84%,4.76%,121.49,1.19,all_maps_ranks,combined
phoenixPhoenix,Duelist,Strong / S,79.09,-0.14,49.79%,8.40%,118.9,1.15,all_maps_ranks,combined
razeRaze,Duelist,Good / A,50.79,-0.22,49.56%,3.49%,134.34,1.24,all_maps_ranks,combined
reynaReyna,Duelist,God / S+,97.01,0.15,50.02%,9.40%,140.01,1.34,all_maps_ranks,combined
sageSage,Sentinel,Strong / S,90.4,-0.73,50.27%,10.39%,104.35,1.13,all_maps_ranks,combined
skyeSkye,Initiator,Weak / C,29.14,2.16,49.16%,1.69%,109.69,1.17,all_maps_ranks,combined
sovaSova,Initiator,Strong / S,63.1,-1.37,49.80%,6.24%,112.52,1.16,all_maps_ranks,combined
viperViper,Controller,Bad / D,27.4,0.67,48.98%,1.51%,116.97,1.11,all_maps_ranks,combined
vyseVyse,Sentinel,Fair / B,36.53,-6.65,49.08%,2.47%,118.73,1.18,all_maps_ranks,combined
yoruYoru,Duelist,Fair / B,43.91,1.6,48.93%,3.71%,120.16,1.15,all_maps_ranks,combined
astraAstra,Controller,Bad / D,30.68,-4.67,49.37%,0.99%,139.84,1.48,all_maps_ranks,combined
breachBreach,Initiator,Fair / B,36.54,1.32,49.82%,2.19%,132.83,1.38,all_maps_ranks,combined
brimstoneBrimstone,Controller,Fair / B,36.82,0.36,49.74%,1.74%,137.33,1.52,all_maps_ranks,combined
chamberChamber,Sentinel,Strong / S,63.24,-3.42,50.06%,5.87%,150.64,1.37,all_maps_ranks,combined
cloveClove,Controller,Strong / S,92.04,2.56,51.21%,9.30%,154.52,1.54,all_maps_ranks,combined
cypherCypher,Sentinel,Strong / S,62.3,3.22,50.19%,6.17%,133.76,1.34,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Weak / C,33.17,0.59,50.35%,1.48%,135.96,1.32,all_maps_ranks,combined
fadeFade,Initiator,Weak / C,33.14,0.57,50.02%,1.62%,130.89,1.37,all_maps_ranks,combined
gekkoGekko,Initiator,Good / A,52.64,-0.4,50.17%,5.03%,127.83,1.26,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,22.0,0.98,48.63%,0.55%,132.04,1.34,all_maps_ranks,combined
isoIso,Duelist,Good / A,52.44,1.67,50.48%,3.42%,165.65,1.42,all_maps_ranks,combined
jettJett,Duelist,God / S+,96.27,-1.1,50.18%,10.85%,158.86,1.36,all_maps_ranks,combined
kayoKAY/O,Initiator,Bad / D,32.98,0.51,48.73%,1.92%,133.06,1.45,all_maps_ranks,combined
killjoyKilljoy,Sentinel,Fair / B,44.51,2.05,50.24%,3.44%,138.63,1.26,all_maps_ranks,combined
neonNeon,Duelist,Good / A,49.08,1.17,50.30%,3.76%,147.79,1.31,all_maps_ranks,combined
omenOmen,Controller,Good / A,59.81,1.02,49.14%,5.95%,138.26,1.41,all_maps_ranks,combined
phoenixPhoenix,Duelist,Fair / B,46.2,1.68,50.40%,2.57%,160.05,1.43,all_maps_ranks,combined
razeRaze,Duelist,Good / A,58.6,-0.71,50.02%,5.02%,157.56,1.35,all_maps_ranks,combined
reynaReyna,Duelist,God / S+,97.92,0.82,50.45%,10.67%,161.25,1.45,all_maps_ranks,combined
sageSage,Sentinel,Good / A,48.07,0.54,50.17%,4.17%,126.1,1.32,all_maps_ranks,combined
skyeSkye,Initiator,Fair / B,34.92,1.69,49.73%,2.08%,129.96,1.37,all_maps_ranks,combined
sovaSova,Initiator,Strong / S,62.58,1.79,50.20%,5.93%,140.84,1.38,all_maps_ranks,combined
viperViper,Controller,Weak / C,33.61,0.02,49.99%,1.36%,141.64,1.4,all_maps_ranks,combined
vyseVyse,Sentinel,Fair / B,37.34,-13.09,49.76%,2.16%,139.16,1.38,all_maps_ranks,combined
yoruYoru,Duelist,Weak / C,33.11,0.81,49.16%,1.76%,144.97,1.33,all_maps_ranks,combined
astraAstra,Controller,Weak / C,37.25,-3.81,50.36%,0.89%,143.88,1.58,all_maps_ranks,combined
breachBreach,Initiator,Bad / D,34.96,-4.55,48.46%,1.28%,135.82,1.56,all_maps_ranks,combined
brimstoneBrimstone,Controller,Weak / C,35.12,-7.27,48.89%,0.87%,141.43,1.62,all_maps_ranks,combined
chamberChamber,Sentinel,Fair / B,42.59,-2.7,50.10%,2.64%,150.57,1.34,all_maps_ranks,combined
cloveClove,Controller,God / S+,82.13,5.23,51.00%,10.29%,162.33,1.64,all_maps_ranks,combined
cypherCypher,Sentinel,Strong / S,61.34,4.6,50.54%,6.95%,139.41,1.37,all_maps_ranks,combined
deadlockDeadlock,Sentinel,Good / A,44.83,6.08,51.90%,2.42%,144.11,1.44,all_maps_ranks,combined
fadeFade,Initiator,Fair / B,40.05,-2.72,50.08%,1.92%,138.84,1.51,all_maps_ranks,combined
gekkoGekko,Initiator,Fair / B,41.52,0.21,50.65%,2.46%,135.1,1.38,all_maps_ranks,combined
harborHarbor,Controller,Bad / D,28.43,0.14,46.89%,0.22%,145.89,1.52,all_maps_ranks,combined
isoIso,Duelist,Strong / S,64.09,0.99,50.78%,6.57%,171.05,1.43,all_maps_ranks,combined
jettJett,Duelist,God / S+,96.55,5.74,50.92%,14.41%,159.32,1.34,all_maps_ranks,combined
kayoKAY/O,Initiator,Bad / D,34.11,-5.36,48.60%,1.05%,135.45,1.56,all_maps_ranks,combined
